genome,fitness,behavior_descriptor
"[ 0.93721989 -0.49746326  0.95045234  0.75683122 -0.1450623   0.59430207
 -0.87647939]",0,[ 0.937 -0.497  0.95 ]
"[ 0.54588956  0.74357924  0.60258974  0.99786136  0.50520709 -0.45255978
 -0.23073852]",0,[0.546 0.744 0.603]
"[ 0.82685341 -0.93098498  0.56042236  0.45509999 -0.45090556  0.12263214
  0.02458488]",0,[ 0.827 -0.931  0.56 ]
"[ 0.10001732 -0.4701926   0.29003621  0.45630192 -0.51618604  0.49159245
 -0.97061782]",0,[ 0.1  -0.47  0.29]
"[ 0.14727966 -0.04408444 -0.50998301 -0.53334907  0.41796196  0.79028302
  0.1493216 ]",0,[ 0.147 -0.044 -0.51 ]
"[ 0.11781654  0.49411378  0.37204248 -0.43129984 -0.40318273  0.69135685
 -0.11904501]",0,[0.118 0.494 0.372]
"[ 0.82968855 -0.8374246  -0.42456976 -0.3631154  -0.26628966  0.95917066
 -0.60708537]",0,[ 0.83  -0.837 -0.425]
"[ 0.66301956  0.61091741  0.58574287 -0.57320263  0.30052975  0.42787456
  0.95780731]",0,[0.663 0.611 0.586]
"[ 0.97175903  0.41496998 -0.96578553 -0.82932947 -0.96103843  0.57565756
 -0.03661924]",0,[ 0.972  0.415 -0.966]
"[ 0.32333484 -0.96889303 -0.81992091  0.77926029  0.1245256   0.96635971
 -0.34010121]",0,[ 0.323 -0.969 -0.82 ]
"[ 0.27450199 -0.91693588  0.79490629 -0.60930916  0.5926608  -0.20292746
  0.55932786]",0,[ 0.275 -0.917  0.795]
"[-0.77440697  0.74230717 -0.51914827  0.8085794  -0.9007777  -0.58300443
  0.34759016]",0,[-0.774  0.742 -0.519]
"[-0.03987563 -0.32298316  0.68454218  0.22135664  0.25997773  0.52726105
  0.93624841]",0,[-0.04  -0.323  0.685]
"[-0.35071282 -0.70438611  0.2550676  -0.18903146 -0.08234481  0.81744474
  0.53023917]",0,[-0.351 -0.704  0.255]
"[ 0.18624998 -0.08380684  0.59921721 -0.66479888 -0.37907432 -0.5101943
 -0.21116177]",0,[ 0.186 -0.084  0.599]
"[ 1.10083627  0.12072299  0.13160707 -0.57201251 -0.2424049  -0.5951784
 -0.17864288]",0,[1.101 0.121 0.132]
"[-0.42341318  0.9974738  -0.86260619  0.79341658 -0.03824637 -0.11948541
 -0.18167377]",0,[-0.423  0.997 -0.863]
"[ 0.83221424 -1.01567122 -0.14386895  0.25993824 -0.57498167  0.62781008
  0.1858613 ]",0,[ 0.832 -1.016 -0.144]
"[ 0.18638496  0.92057396  0.80108752 -0.13781235  0.34179912 -0.04846317
  0.85634901]",0,[0.186 0.921 0.801]
"[ 0.64450622 -0.84753179 -0.39419238 -0.44671684  0.06603404  0.54429923
  0.1054291 ]",0,[ 0.645 -0.848 -0.394]
