genome,fitness,behavior_descriptor
"[ 0.70418287  0.4147259   0.37695774  0.61423623 -0.48064313 -0.62907662
  0.1585002 ]",0,[0.704 0.415 0.377]
"[-0.24025814 -0.83102879  0.85754845  0.0741133   0.63656301  0.07509915
  0.49979478]",0,[-0.24  -0.831  0.858]
"[ 0.30199245  0.33408689  0.05719562 -0.78088647 -0.66915083  0.68738915
  0.82271875]",0,[0.302 0.334 0.057]
"[ 0.76169007  0.66468783  0.96254753 -0.78327531  0.42905117 -0.63298905
 -0.3447851 ]",0,[0.762 0.665 0.963]
"[-0.17949401  0.05240237  0.84750953  0.01624546  0.8212525   0.64705029
  0.26253425]",0,[-0.179  0.052  0.848]
"[ 0.29875923 -0.54408492  0.49132935  0.86664353 -0.71478072 -0.85642824
  0.90052544]",0,[ 0.299 -0.544  0.491]
"[-0.5774651  -0.2097524  -0.45746186  0.51785195 -0.99038027  0.60398699
  0.27185511]",0,[-0.577 -0.21  -0.457]
"[-0.12927362  0.81592972  0.36463184  0.2738917   0.97006398 -0.26408372
 -0.73944915]",0,[-0.129  0.816  0.365]
"[ 0.70999103  0.01998596  0.75443193  0.37279607 -0.26849248  0.24700531
  0.08306395]",0,[0.71  0.02  0.754]
"[-0.15238313  0.05654323  0.39324756  0.6860604   0.06561589 -0.29388438
 -0.53343328]",0,[-0.152  0.057  0.393]
"[ 0.70904436  0.10320622  0.63978838  0.48668661  0.08659768 -0.43157913
  0.92900628]",0,[0.709 0.103 0.64 ]
"[ 0.78947052  0.67507549 -0.47985207 -0.09468079  0.57951699  0.18533208
 -0.3879267 ]",0,[ 0.789  0.675 -0.48 ]
"[-0.84932399 -0.28248489  0.6188496  -0.9145418  -0.93067503  0.22793556
 -0.29528236]",0,[-0.849 -0.282  0.619]
"[ 0.09032257  0.39003463  0.95762988 -0.90567186  0.90628119  0.79033245
  0.02183948]",0,[0.09  0.39  0.958]
"[-0.01203468  0.7058736   0.4105944  -0.91207097 -0.29709942  0.48880128
 -0.8009772 ]",0,[-0.012  0.706  0.411]
"[-0.06891271 -0.80525323  0.45780754  0.4918564  -0.16636557 -0.79641563
  0.51318225]",0,[-0.069 -0.805  0.458]
"[-0.74929078 -0.27106346  0.57774906 -0.43631607 -0.02781987 -0.18845371
  0.8032489 ]",0,[-0.749 -0.271  0.578]
"[ 0.12304728 -0.45786074 -0.1358131   0.75819792  0.40047752 -0.68626556
 -0.5730241 ]",0,[ 0.123 -0.458 -0.136]
"[ 0.51304258  0.17658945 -0.89997759 -0.162886   -0.56755178  0.48466691
 -0.17185209]",0,[ 0.513  0.177 -0.9  ]
"[ 0.8620044   0.65462678 -0.88265684 -0.23760506  0.68722825  0.19057952
 -0.94131962]",0,[ 0.862  0.655 -0.883]
"[-0.43099592  0.14068869 -0.69305876 -0.97145312  0.85640883 -0.63017107
  0.19388569]",0,[-0.431  0.141 -0.693]
"[ 0.25475513 -0.18849074  0.04780878  0.24438865  0.25654056 -0.66856972
 -0.7334316 ]",0,[ 0.255 -0.188  0.048]
"[-0.37985996  0.1149765  -0.98833255 -0.40973787 -0.51322446  0.05448752
  0.59834644]",0,[-0.38   0.115 -0.988]
"[ 0.67682226 -0.01709877 -0.10575361  0.86626395  0.15611844 -0.46936037
  0.23223607]",0,[ 0.677 -0.017 -0.106]
"[ 0.36723642 -0.36592289  0.58666706  0.35484071  0.99221372  0.6936042
  0.85735469]",0,[ 0.367 -0.366  0.587]
"[ 0.20085075  0.30026519 -0.07622845 -0.18344586  0.23275453 -0.16070142
  0.338687  ]",0,[ 0.201  0.3   -0.076]
"[ 0.46811862  0.44363645 -0.13702734  0.13211533  0.99167416 -0.66123491
  0.64261692]",0,[ 0.468  0.444 -0.137]
"[-0.88363223 -0.3862203   0.40489762 -0.05741394 -0.32198409 -0.11867166
 -0.49742018]",0,[-0.884 -0.386  0.405]
"[-0.85120115  0.54093858 -0.56890342 -0.10006861 -0.3042639   0.86227214
 -0.40237259]",0,[-0.851  0.541 -0.569]
"[-0.47701988 -0.97436616  0.80831312  0.45944488  0.94367514  0.28389637
 -0.7170879 ]",0,[-0.477 -0.974  0.808]
"[ 0.19046076 -0.92664879  0.20789602  0.20286232  0.93338253 -0.73807383
 -0.66219873]",0,[ 0.19  -0.927  0.208]
"[ 0.40045722  0.97989504 -0.45038819 -0.27017112  0.39903445 -0.04961717
 -0.29419222]",0,[ 0.4   0.98 -0.45]
"[-0.83780699 -0.62075783  0.59522616 -0.8252272  -0.1629622  -0.93312374
 -0.87147308]",0,[-0.838 -0.621  0.595]
"[-0.86684526 -0.27449938 -0.91132556 -0.81108945  0.57353927  0.65894203
  0.06057154]",0,[-0.867 -0.274 -0.911]
"[ 0.11303754 -0.8377485  -0.18941037  0.6135985   0.67255532  0.80723981
  0.78413023]",0,[ 0.113 -0.838 -0.189]
"[ 0.61110848 -0.39315965 -0.84383946 -0.36272194 -0.93945821 -0.21403734
 -0.17492981]",0,[ 0.611 -0.393 -0.844]
"[-0.6782584  -0.00185928 -0.75390846 -0.85801737 -0.9773574   0.05456138
  0.03994417]",0,[-0.678 -0.002 -0.754]
"[-4.00672326e-01  2.33533090e-01  7.38182250e-01  6.55170427e-04
  4.12632117e-02 -4.26700465e-01  4.89535540e-01]",0,[-0.401  0.234  0.738]
"[-0.33344842 -0.09989779  0.36742625 -0.41247704 -0.52922474 -0.7503374
  0.95263341]",0,[-0.333 -0.1    0.367]
"[-0.79351936  0.93472554 -0.02272356  0.14872984 -0.42387179 -0.14550266
 -0.20936665]",0,[-0.794  0.935 -0.023]
"[ 0.55099812  0.39992146 -0.79028382  0.04806378  0.59751153 -0.65109161
  0.31783127]",0,[ 0.551  0.4   -0.79 ]
"[-0.44060009 -0.92787692 -0.45457677  0.36171785  0.70949078  0.01545871
 -0.81519239]",0,[-0.441 -0.928 -0.455]
"[ 0.28459761  0.25796154 -0.87048306 -0.33804137  0.04670275 -0.90225295
  0.30077645]",0,[ 0.285  0.258 -0.87 ]
"[-0.93582851 -0.56659855 -0.44549106  0.05384001 -0.15788472 -0.69777716
  0.86983634]",0,[-0.936 -0.567 -0.445]
"[ 0.36734413 -0.79269699  0.54590384  0.12614214 -0.04363057  0.35752372
 -0.73429861]",0,[ 0.367 -0.793  0.546]
"[-0.21760751  0.21496131  0.47378479  0.67930845 -0.10559553 -0.18511548
 -0.74633446]",0,[-0.218  0.215  0.474]
"[-0.88013782  0.29235919 -0.91570574  0.0803497   0.70899378  0.48669003
 -0.19185332]",0,[-0.88   0.292 -0.916]
"[-0.96397969 -0.49785252  0.41759761  0.50113208 -0.31706816 -0.08315502
  0.95054481]",0,[-0.964 -0.498  0.418]
"[-0.3410457   0.96864654 -0.33882813 -0.92372228 -0.19350816  0.70217386
  0.73572852]",0,[-0.341  0.969 -0.339]
"[-0.71382894  0.68921046 -0.8108608   0.22651749 -0.31030338 -0.984244
  0.22740352]",0,[-0.714  0.689 -0.811]
"[ 0.38668399 -0.90905295  0.5882164  -0.89542243  0.52260338 -0.45863183
  0.83530633]",0,[ 0.387 -0.909  0.588]
"[-0.5804986   0.72605324 -0.2510262  -0.42698077  0.27938606 -0.38896297
 -0.21984269]",0,[-0.58   0.726 -0.251]
"[ 0.43140538 -0.70090924 -0.95894625  0.40310122  0.66680485 -0.99737078
 -0.66337678]",0,[ 0.431 -0.701 -0.959]
"[ 0.44984557  0.43914542 -0.5432713  -0.99560688  0.89752683  0.67566628
  0.77601844]",0,[ 0.45   0.439 -0.543]
"[ 0.82895923  0.63285071  0.59708707 -0.67917276 -0.39650648 -0.34231058
  0.52522682]",0,[0.829 0.633 0.597]
"[-0.76708868 -0.74201725  0.8972659   0.87438272  0.26610474 -0.53189508
  0.2536535 ]",0,[-0.767 -0.742  0.897]
"[-0.56581924  0.44903061 -0.56757099  0.30275409 -0.62062882  0.56282588
 -0.42101382]",0,[-0.566  0.449 -0.568]
"[ 0.7559028   0.83968267  0.63050712 -0.58986697  0.06777459  0.73061837
  0.01655519]",0,[0.756 0.84  0.631]
"[ 0.53713705  0.34382944  0.03991501 -0.989353    0.37322639  0.27626717
 -0.14950734]",0,[0.537 0.344 0.04 ]
"[ 0.53422751  0.18994443  0.77308236 -0.10134004  0.71083661  0.72435423
 -0.55118813]",0,[0.534 0.19  0.773]
"[-0.21726841 -0.38945612  0.34485689 -0.7907043  -0.36476179 -0.00443344
  0.2693448 ]",0,[-0.217 -0.389  0.345]
"[ 0.47478163  0.32192287 -0.61128104 -0.75714587 -0.46827848 -0.97187214
  0.99629816]",0,[ 0.475  0.322 -0.611]
"[-0.83672994 -0.50082019 -0.48454805  0.61738268  0.98662388  0.22862437
  0.59112795]",0,[-0.837 -0.501 -0.485]
"[-0.69264806 -0.33058491 -0.86990163  0.3643251  -0.55589372  0.54765093
  0.85774331]",0,[-0.693 -0.331 -0.87 ]
"[-6.51556665e-01  6.61427515e-01  8.19340988e-04 -7.47760910e-01
  1.52281725e-01 -9.60275078e-01  4.23363799e-02]",0,[-0.652  0.661  0.001]
"[ 0.90058492  0.42884498  0.33090002  0.11935928  0.14549627 -0.30881453
 -0.16777242]",0,[0.901 0.429 0.331]
"[-0.05472022  0.79810388  0.1732565  -0.07997752  0.0060273   0.57228575
 -0.81276143]",0,[-0.055  0.798  0.173]
"[ 0.44275598  0.89182518  0.98483281  0.43793744 -0.77576985  0.91619617
 -0.95510709]",0,[0.443 0.892 0.985]
"[ 0.22320451  0.99192935 -0.22376856 -0.16908254 -0.69567557  0.63645789
  0.4639243 ]",0,[ 0.223  0.992 -0.224]
"[ 0.50167073 -0.01813139 -0.82555204 -0.86552318  0.950291    0.32390699
  0.70466024]",0,[ 0.502 -0.018 -0.826]
"[ 0.42765401  0.02497281 -0.04509116 -0.63464382 -0.49469527  0.36981906
 -0.24203073]",0,[ 0.428  0.025 -0.045]
"[-0.07809753  0.287327    0.94489934 -0.7862247  -0.67379116  0.95839476
  0.74869724]",0,[-0.078  0.287  0.945]
"[ 0.4462797   0.35048899 -0.35066658  0.22506038  0.85833215 -0.76550784
  0.81412208]",0,[ 0.446  0.35  -0.351]
"[ 0.65188828  0.24567485 -0.91659295 -0.12391946  0.71119157 -0.34164709
  0.34476468]",0,[ 0.652  0.246 -0.917]
"[-0.77855157 -0.52084796 -0.61490534  0.02582132  0.95443641 -0.1380097
 -0.58543758]",0,[-0.779 -0.521 -0.615]
"[ 0.38179887  0.59734832 -0.38851255 -0.44996735 -0.29155077 -0.75936561
  0.89305311]",0,[ 0.382  0.597 -0.389]
"[ 0.47394997 -0.32105403  0.62404787  0.52254859  0.27682781 -0.8706468
 -0.58427783]",0,[ 0.474 -0.321  0.624]
"[ 0.49922455 -0.54305819 -0.53487288  0.96994128 -0.5750379   0.52896396
 -0.54203984]",0,[ 0.499 -0.543 -0.535]
"[ 0.06869789  0.15101391  0.14563021  0.23411982  0.01082654  0.92770027
 -0.24957014]",0,[0.069 0.151 0.146]
"[ 0.05990695 -0.21025077 -0.27189456 -0.64120531 -0.33271798  0.01693655
 -0.17798077]",0,[ 0.06  -0.21  -0.272]
"[-0.09205855  0.32722109  0.07444908 -0.08285984 -0.38016187 -0.84271983
 -0.72072951]",0,[-0.092  0.327  0.074]
"[ 0.81321212 -0.6574366  -0.71706904  0.66224501 -0.71269991 -0.71202502
  0.42494702]",0,[ 0.813 -0.657 -0.717]
"[ 0.2726902  -0.65617483 -0.57802399 -0.60948843  0.12681425 -0.99538434
 -0.67108147]",0,[ 0.273 -0.656 -0.578]
"[ 0.84669407  0.85105057 -0.9067322  -0.01897161  0.26004894 -0.50318903
 -0.0619211 ]",0,[ 0.847  0.851 -0.907]
"[-0.39241448  0.6763362  -0.65621003  0.86776054  0.53860805 -0.34632565
  0.12335498]",0,[-0.392  0.676 -0.656]
"[ 0.2934763  -0.6935223  -0.73297536 -0.84785732  0.78964141  0.58734632
 -0.79380137]",0,[ 0.293 -0.694 -0.733]
"[ 0.64585865 -0.03397471  0.4741721  -0.75783    -0.58004255 -0.60035453
 -0.56944833]",0,[ 0.646 -0.034  0.474]
