genome,fitness,behavior_descriptor
"[ 0.12520475  0.97745238  0.76347701  0.68198105 -0.97763344  0.13508083
  0.83823886]",0,[0.125 0.977 0.763]
"[-0.2124164  -0.45399283  0.61817765 -0.89564973 -0.97222385 -0.72469995
  0.77844858]",0,[-0.212 -0.454  0.618]
"[-0.91097828  0.05436854  0.01038665  0.5744581   0.14907065  0.59361317
  0.197261  ]",0,[-0.911  0.054  0.01 ]
"[ 0.30457953 -0.62891023 -0.61553205  0.57551058 -0.18588453  0.41162055
  0.58625136]",0,[ 0.305 -0.629 -0.616]
"[ 0.1772145   0.06931795 -0.55280991  0.93177872 -0.23197128 -0.58366232
 -0.91442713]",0,[ 0.177  0.069 -0.553]
"[-0.80260376 -0.22442784  0.9530364  -0.08103237  0.33989288 -0.63532227
  0.70842988]",0,[-0.803 -0.224  0.953]
"[ 0.33426186  0.93026255  0.4684939   0.59412304  0.57177025  0.07498291
 -0.89196646]",0,[0.334 0.93  0.468]
"[-0.00329085 -0.52195686  0.35852203  0.59707901  0.49640573  0.46791308
 -0.86062753]",0,[-0.003 -0.522  0.359]
"[ 0.11766974  0.11006581  0.45341601 -0.46070652 -0.58003427 -0.73276149
  0.8998142 ]",0,[0.118 0.11  0.453]
"[-0.71288854 -0.80654213 -0.14043794 -0.970799    0.96106432  0.53503596
 -0.83431072]",0,[-0.713 -0.807 -0.14 ]
"[-0.53053492 -0.64020404 -0.01153103  0.28554601 -0.53220431 -0.69408332
  0.11151387]",0,[-0.531 -0.64  -0.012]
"[-0.50156127  0.99463862  0.91227998 -0.05107034 -0.80800185  0.61945216
  0.79138429]",0,[-0.502  0.995  0.912]
"[-0.19319767 -0.7227995  -0.06636529  0.63426123 -0.89545979  0.77127683
  0.94751323]",0,[-0.193 -0.723 -0.066]
"[-0.03968758  0.31291369 -0.12296558 -0.0398424   0.86708085  0.29980731
  0.87837485]",0,[-0.04   0.313 -0.123]
